BOOK NAME,Author
Start with Why,Simon Sinek
IKIGAI,Francesc Miralles
Secret,Rhonda Byrne
Hyperfocus: How to Work Less to Achieve More,Chris Bailey
Zero to One,Peter Thiel
Stay Hungry Stay Foolish,Rashmi Bansal
Daily Coffee & Startup Fundraising,Sarthak
Built to Last,Collins & Porras
The Lean Startup,Eric Ries
How to Run a Company,Dennis C. Carey & Marie-Caroline
The Psychology of Money,Morgan Housel
The Compound Effect,Darren Hardy
The Science of Getting Rich,Wallace D. Wattles
Guide to Investing,Robert T. Kiyosaki
"New Sales, Simplified",Mike Weinberg
Most Likely to Succeed,Tony Wagner
The One World Schoolhouse,Salman Khan
TED Talks,Chris Anderson
iCon,Young Simon
Imagining India,Nandan Nilekani
Elon Musk,Ashlee Vance
Way of the Wolf,Jordan Belfort
Like a Virgin,Richard Branson
"Learn, Don’t Study",Pramath Raj Sinha
The 7 Habits of Highly Effective People,Stephen R. Covey
"Thinking, Fast and Slow",Daniel Kahneman
Contagious,Jonah Berger
Essentials: Managing Projects Large & Small,Harvard Business
ସୁବାସିତ ସୁଭାଷ (Sankalan),Urmila Prabha Beura
Rendezvous with a Monk,Jayant Mukherjee
Odisha Journeys – A Traveller’s Tale,Jitu Mishra
In Their Own Voice,Anil Pradhan
The 10-Day MBA,Steven Silbiger
What (Really) Works,William
New Product Planning,Kahn
ICT in Education SEM-V Core Paper XII,Sagarika Rout
Essentials: Negotiation,Harvard Business
A New Morning with Chitta Ranjan,Ananta Kumar Giri
Thoughts on Education,Gopabandhu Das
Indigenous Education at Cross Roads,Lauren Alcorn
"Hot, Flat, and Crowded",Thomas L. Friedman
Learn & Don’t Study,
$100M Offers (Vol-1),Alex Hormozi
$100M Leads (Vol-2),Alex Hormozi
